method,id,file,dataset,fitness,dice,jaccard,acc
otsu,6,219,bs,0.722411655300682,0.531986531986532,0.3623853211009174,0.9501091988636018
otsu,6,220,bs,0.7933636955107352,0.5790673378288537,0.4075262348773478,0.9559215499065123
otsu,6,221,bs,0.6704091816367266,0.4456607372392918,0.28672037560689323,0.9406731899975593
otsu,6,222,bs,0.797318406664931,0.5173578849564997,0.3489432005924913,0.9517903546960953
otsu,6,223,bs,0.8768586104352528,0.6544922564697574,0.4864277144571086,0.9636858179041802
otsu,6,224,bs,0.897062646217832,0.6502732240437158,0.4817813765182186,0.9643912359464334
otsu,6,225,bs,0.8616430752150985,0.5702346512375442,0.3988309352517986,0.9562356792144027
otsu,6,226,bs,0.6464446206714248,0.38639595512719227,0.23946144430844554,0.9378391356542617
otsu,6,227,bs,0.733260751224823,0.42748333862265947,0.27184661957618567,0.9436443722470401
otsu,6,228,bs,0.8250032287227173,0.5022999803420484,0.3353808998792461,0.9496559952276794
otsu,6,229,bs,0.7474776592678005,0.38404857999777836,0.2376609687915311,0.9392217756667884
otsu,6,230,bs,0.6977012821993762,0.3422290214743045,0.2064392644746736,0.9317226087621377
otsu,6,231,bs,0.8105613557270389,0.608404315729699,0.43719905329307107,0.962725936175733
otsu,6,232,bs,0.8774102744546094,0.6703946660931283,0.5042057586541572,0.9699273940345369
otsu,6,233,bs,0.7314838381267498,0.5872196965827247,0.41564827536336685,0.9535652103959685
otsu,6,234,bs,0.699925907631514,0.5707093591099028,0.3992955265938711,0.9489477623110313
otsu,6,235,bs,0.8591891546233533,0.722637551766794,0.5657263157894736,0.970834747200543
otsu,6,236,bs,0.8261436488101705,0.5967115331789821,0.42522371364653244,0.9552014995313964
otsu,6,237,bs,0.8525453481568168,0.5919154986796669,0.42036930178880555,0.9587026591458501
otsu,6,238,bs,0.8101320946436348,0.4165080786596515,0.26303138844377416,0.9400929427134215
otsu,6,239,bs,0.7483974358974359,0.5520094562647754,0.3812244897959184,0.9525289790713033
otsu,6,240,bs,0.783357771260997,0.5082951774989594,0.3407478274734912,0.9507879639107768
